aX,aY,aZ,gX,gY,gZ
-0.099,0.696,0.111,76.477,-136.780,-3.235
-0.094,0.731,0.156,68.298,-129.578,-3.906
-0.072,0.755,0.178,61.340,-119.080,-6.714
-0.048,0.772,0.186,57.922,-106.567,-11.475
-0.026,0.746,0.193,57.007,-94.238,-17.639
0.008,0.670,0.188,54.688,-83.191,-23.193
0.054,0.579,0.167,50.354,-75.500,-24.414
0.086,0.540,0.164,46.875,-71.045,-19.470
0.091,0.553,0.193,44.922,-68.787,-10.254
0.081,0.616,0.212,41.077,-66.833,-1.709
0.068,0.691,0.221,35.400,-64.392,3.723
0.055,0.756,0.243,31.067,-61.707,3.845
0.059,0.791,0.282,27.283,-59.021,-0.610
0.069,0.795,0.308,20.935,-55.054,-6.470
0.092,0.768,0.299,12.451,-49.927,-12.451
0.125,0.711,0.299,5.737,-43.823,-17.029
0.150,0.663,0.306,2.808,-36.377,-18.494
0.175,0.640,0.289,1.953,-26.489,-16.174
0.196,0.653,0.248,2.563,-15.808,-11.230
0.189,0.672,0.200,2.869,-7.080,-5.859
0.183,0.728,0.175,3.845,-1.282,-1.831
0.174,0.788,0.151,2.625,1.831,0.000
0.164,0.833,0.125,-0.610,2.991,-1.160
0.166,0.862,0.117,-5.493,2.686,-4.272
0.183,0.860,0.089,-13.489,1.160,-8.545
0.211,0.831,0.037,-21.851,-0.183,-12.390
0.237,0.798,-0.005,-27.283,-0.916,-13.184
0.257,0.779,-0.045,-27.344,-0.916,-11.475
0.270,0.770,-0.078,-24.353,0.366,-7.263
0.271,0.803,-0.089,-19.348,1.831,-2.319
0.271,0.874,-0.080,-14.038,3.235,2.258
0.265,0.931,-0.073,-10.986,5.310,4.395
0.269,0.967,-0.080,-10.925,7.507,3.479
0.279,0.971,-0.103,-12.756,10.315,0.366
0.298,0.969,-0.137,-14.954,12.390,-2.869
0.307,0.944,-0.164,-14.587,13.550,-4.578
0.305,0.934,-0.181,-11.536,14.954,-5.249
0.290,0.921,-0.178,-7.019,15.503,-5.127
0.273,0.925,-0.177,-3.845,15.991,-4.089
0.268,0.950,-0.174,-2.075,15.625,-3.113
0.272,0.980,-0.177,-1.587,15.503,-2.197
0.277,1.001,-0.178,-1.770,15.381,-2.441
0.270,1.005,-0.183,-2.625,15.198,-3.845
0.271,1.002,-0.197,-4.578,14.893,-5.127
0.274,0.995,-0.208,-5.615,13.916,-6.714
0.271,0.986,-0.205,-4.456,13.367,-8.728
0.272,0.981,-0.191,-2.258,13.000,-10.864
0.273,0.956,-0.179,-0.671,13.611,-13.000
0.299,0.938,-0.184,-0.854,14.099,-14.893
0.314,0.894,-0.210,-2.197,14.832,-15.503
0.330,0.868,-0.242,-2.625,15.747,-13.794
0.336,0.870,-0.260,-1.770,15.442,-10.559
0.344,0.904,-0.256,1.221,14.038,-7.507
0.339,0.928,-0.247,1.770,11.780,-6.226
0.342,0.947,-0.242,0.916,9.277,-6.470
0.338,0.943,-0.230,-1.648,6.958,-8.118
0.345,0.930,-0.222,-3.296,5.188,-10.864
0.361,0.912,-0.224,-3.235,5.249,-13.245
0.377,0.888,-0.226,-2.319,6.470,-13.977
0.384,0.845,-0.237,-1.038,8.057,-13.489
0.393,0.819,-0.252,-0.427,9.521,-11.169
0.396,0.821,-0.265,-0.183,9.827,-7.202
0.383,0.835,-0.271,-0.183,8.728,-3.906
0.368,0.868,-0.265,0.305,6.531,-1.282

0.456,-0.057,-0.754,-13.489,21.423,24.841
0.541,-0.061,-0.568,-12.085,20.325,28.198
0.503,-0.025,-0.519,-7.568,21.606,31.799
0.473,-0.003,-0.491,-15.137,23.560,33.508
0.467,-0.004,-0.494,-24.658,25.635,32.288
0.480,-0.040,-0.545,-29.114,28.076,28.442
0.498,-0.102,-0.582,-25.818,30.396,25.146
0.510,-0.214,-0.540,-15.015,33.386,24.536
0.518,-0.332,-0.399,0.244,38.574,28.198
0.491,-0.399,-0.219,11.475,47.913,38.818
0.458,-0.393,-0.158,12.085,62.073,55.176
0.424,-0.353,-0.149,8.057,76.172,73.120
0.360,-0.264,-0.102,6.470,87.341,88.440
0.298,-0.147,-0.063,6.836,96.436,98.633
0.228,-0.092,-0.014,4.395,104.126,103.394
0.168,-0.061,0.024,2.869,111.633,104.492
0.122,-0.050,0.081,4.456,117.310,102.722
0.113,-0.033,0.096,2.014,124.084,100.769
0.114,-0.020,0.049,-4.883,133.606,100.830
0.058,-0.001,-0.056,-11.963,144.470,102.722
0.042,-0.041,-0.077,-18.616,155.090,104.797
-0.012,-0.073,-0.111,-24.292,166.077,108.887
-0.068,-0.055,-0.215,-37.292,181.335,117.188
-0.120,0.100,-0.309,-33.203,191.833,123.352
-0.148,0.251,-0.369,-27.649,194.092,125.732
-0.192,0.336,-0.438,-33.508,191.589,125.183
-0.229,0.390,-0.519,-47.424,187.866,121.826
-0.268,0.405,-0.649,-66.467,187.134,116.882
-0.304,0.367,-0.832,-83.923,189.758,110.779
-0.322,0.328,-1.033,-88.989,193.115,105.347
-0.340,0.367,-1.168,-84.229,196.228,103.210
-0.438,0.223,-1.416,-81.177,202.698,102.234
-0.398,0.416,-1.555,-47.302,201.233,107.605
-0.431,0.559,-1.618,-32.166,191.528,117.065
-0.515,0.624,-1.765,-34.485,182.739,118.774
-0.552,0.713,-1.917,-29.053,168.640,113.464
-0.543,0.739,-2.013,-23.621,149.231,103.577
-0.502,0.718,-2.071,-19.287,129.456,91.187
-0.457,0.698,-2.122,-15.442,112.671,80.139
-0.420,0.673,-2.163,-13.855,98.450,72.510
-0.402,0.640,-2.198,-11.719,85.205,67.017
-0.382,0.612,-2.229,-6.714,72.388,63.416
-0.370,0.615,-2.220,2.380,58.777,60.974
-0.363,0.625,-2.177,11.658,44.739,57.312
-0.364,0.622,-2.145,20.447,31.860,52.551
-0.355,0.595,-2.102,28.564,20.508,46.814
-0.344,0.577,-2.014,37.292,10.010,41.077
-0.339,0.551,-1.954,42.297,0.977,36.377
-0.318,0.528,-1.930,42.847,-7.202,34.119
-0.301,0.549,-1.898,43.579,-15.869,32.288
-0.300,0.557,-1.866,45.410,-26.001,29.785
-0.299,0.542,-1.855,46.021,-36.255,26.672
-0.298,0.509,-1.853,46.692,-45.654,22.522
-0.293,0.473,-1.870,49.072,-53.528,18.494
-0.281,0.410,-1.903,54.016,-61.218,14.465
-0.263,0.319,-1.939,61.157,-69.153,12.085
-0.248,0.280,-1.934,72.571,-78.369,12.451
-0.253,0.283,-1.862,86.670,-87.952,14.343
-0.267,0.286,-1.742,95.886,-96.985,15.686
-0.265,0.302,-1.677,97.717,-104.980,15.747
-0.250,0.299,-1.657,94.666,-113.037,13.977
-0.234,0.252,-1.644,92.957,-122.803,11.414
-0.213,0.181,-1.627,95.032,-133.972,9.216
-0.186,0.095,-1.609,101.379,-146.057,9.521
-0.153,-0.007,-1.596,109.924,-158.020,14.526
-0.139,-0.031,-1.506,121.399,-169.983,24.963
-0.144,0.059,-1.335,134.705,-181.458,37.659
-0.105,0.206,-1.216,150.146,-191.833,44.922
-0.224,0.309,-1.074,162.781,-202.942,40.588
