aX,aY,aZ,gX,gY,gZ
0.231,-0.230,1.003,-3.235,-1.526,-22.095
0.234,-0.231,0.983,-2.075,-0.793,-22.827
0.236,-0.231,0.973,-1.831,-0.854,-23.437
0.232,-0.239,0.973,-1.953,-1.343,-24.170
0.230,-0.245,0.975,-2.014,-1.953,-25.146
0.238,-0.248,0.982,-1.953,-1.892,-25.940
0.246,-0.247,0.983,-1.831,-0.977,-25.696
0.248,-0.246,0.976,-1.038,0.488,-25.269
0.247,-0.249,0.962,-0.610,1.709,-25.330
0.245,-0.250,0.948,-0.732,2.869,-25.269
0.241,-0.249,0.932,-1.038,3.601,-25.146
0.239,-0.252,0.915,-0.916,4.089,-25.635
0.238,-0.257,0.900,-0.916,3.174,-26.550
0.236,-0.264,0.896,-0.671,1.282,-27.588
0.241,-0.265,0.901,-0.427,-0.488,-27.649
0.240,-0.260,0.909,-0.305,-1.221,-27.100
0.235,-0.253,0.910,-0.183,-0.610,-26.489
0.233,-0.244,0.896,-0.122,1.587,-26.062
0.237,-0.235,0.870,0.061,4.150,-25.818
0.243,-0.233,0.837,0.366,6.775,-25.696
0.249,-0.231,0.801,0.366,9.705,-25.330
0.253,-0.223,0.755,0.916,13.062,-24.414
0.256,-0.213,0.709,2.869,17.090,-23.499
0.251,-0.225,0.665,6.958,22.400,-22.400
0.216,-0.272,0.636,11.292,28.748,-20.081
0.144,-0.285,0.609,13.428,31.616,-15.808
0.102,-0.280,0.579,13.000,25.574,-12.634
0.083,-0.252,0.572,10.498,9.521,-13.611
0.107,-0.217,0.626,7.446,-13.611,-19.897
0.123,-0.215,0.743,7.019,-36.987,-26.184
0.109,-0.228,0.872,10.132,-51.941,-28.564
0.082,-0.240,0.969,14.709,-55.054,-28.503
0.052,-0.272,1.034,19.653,-50.598,-29.175
0.031,-0.332,1.105,24.902,-44.922,-30.457
-0.011,-0.393,1.175,25.391,-40.649,-30.701
-0.060,-0.416,1.267,19.897,-41.016,-30.945
-0.095,-0.445,1.386,13.245,-45.288,-33.569
-0.087,-0.484,1.525,7.874,-51.270,-38.513
-0.041,-0.542,1.706,4.944,-55.664,-42.725
0.015,-0.660,1.932,5.676,-53.528,-44.250
0.048,-0.776,2.145,8.240,-43.579,-40.527
0.005,-0.915,2.323,12.146,-24.658,-33.875
0.016,-1.120,2.490,17.273,-3.052,-31.555
0.127,-1.311,2.615,18.921,21.484,-29.114
0.237,-1.405,2.606,8.240,57.739,-21.790
0.249,-1.319,2.447,-14.709,105.042,-7.019
0.233,-1.160,2.154,-36.072,153.931,5.615
0.177,-1.050,1.827,-46.387,194.641,14.282
0.111,-0.950,1.503,-48.218,225.464,21.301
0.052,-0.834,1.174,-42.358,249.756,26.489
0.002,-0.772,0.871,-29.480,264.404,26.184
0.008,-0.709,0.570,-19.775,267.639,23.132
0.068,-0.549,0.409,-16.785,258.545,20.081
0.167,-0.443,0.225,-1.038,244.202,18.311
0.246,-0.422,0.054,23.437,223.877,19.897
0.305,-0.415,-0.006,43.945,193.787,26.978
0.311,-0.381,-0.005,60.059,158.203,37.781
0.269,-0.315,0.048,72.998,123.901,50.476
0.237,-0.235,0.130,79.834,98.389,60.669
0.223,-0.163,0.236,80.505,83.862,66.101
0.214,-0.103,0.320,77.576,80.322,67.810
0.227,-0.079,0.356,75.806,83.740,66.956
0.240,-0.044,0.358,70.679,86.304,65.918
0.254,0.010,0.347,60.669,88.989,63.660
0.278,0.036,0.326,51.880,89.600,55.542
0.343,0.030,0.306,44.983,86.060,43.457
0.435,0.007,0.293,38.757,78.613,32.288
0.522,-0.006,0.290,33.264,71.594,26.184
0.581,-0.022,0.308,29.419,65.918,26.001
